name,homepage,category,factual
https://achnews.org/,ACHNews,left,MOSTLY FACTUAL
http://act.tv,Act.TV,left,MOSTLY FACTUAL
https://www.aftonbladet.se,Aftonbladet,left,MIXED
https://aldianews.com,Al DIA,left,MIXED
https://www.afj.org/,Alliance for Justice (AFJ),left,HIGH
https://www.altnews.in,Alt News,left,HIGH
https://www.alternet.org/,AlterNet,left,MIXED
http://aidc.org.za/amandla-media/,Amandla,left,HIGH
http://americablog.com/,AmericaBlog,left,HIGH
https://americanbridgepac.org/,American Bridge 21st Century,left,MIXED
http://anx.media/,ANX Media (American News X),left,MIXED
https://www.americanoversight.org,American Oversight,left,MIXED
https://www.au.org/,Americans United for Separation of Church and State,left,HIGH
https://angrywhitemen.org,Angry White Men,left,HIGH
https://antifascistnews.net/,Anti-Fascist News,left,MIXED
https://www.autostraddle.com/,AutoStraddle,left,HIGH
https://www.baltimoresun.com/citypaper/,Baltimore City Paper,left,MIXED
http://www.ebar.com/,Bay Area Reporter,left,HIGH
https://www.facebook.com/pg/beingliberal.org,Being Liberal,left,MOSTLY FACTUAL
https://bitchmedia.org/,Bitch Media,left,HIGH
http://blackagendareport.com/,Black Agenda Report,left,HIGH
https://blacklivesmatter.com,Black Lives Matter,left,HIGH
https://bluestatedaily.com,Blue State Daily,left,MIXED
https://boingboing.net,Boing Boing,left,MIXED
http://bostonreview.net,Boston Review,left,HIGH
https://bust.com,Bust Magazine,left,MOSTLY FACTUAL
https://canadafactcheck.ca,Canada Fact Check,left,MOSTLY FACTUAL
https://canadiandimension.com/,Canadian Dimension,left,MOSTLY FACTUAL
https://capitalandmain.com,Capital & Main,left,HIGH
https://www.care2.com,Care2,left,MIXED
https://ceasefiremagazine.co.uk/,Ceasefire Magazine,left,HIGH
https://www.americanprogress.org/,Center for American Progress,left,MOSTLY FACTUAL
https://www.prwatch.org/,Center for Media and Democracy (PR Watch),left,HIGH
https://c4ss.org/,Center for a Stateless Society,left,HIGH
https://www.change.org/,Change.org,left,HIGH
http://www.chicagoreader.com/,Chicago Reader,left,HIGH
http://www.china.org.cn/,China Internet Information Center,left,MIXED
http://www.chroniclesofdemocracy.com/,Chronicles of Democracy,left,HIGH
https://citizencritics.org,Citizen Critics,left,HIGH
https://edition.cnn.com/,CNN,left,MIXED
https://www.codepink.org,Code Pink,left,MIXED
https://columbusfreepress.com,Columbus Free Press,left,MIXED
https://www.comicsands.com,Comic Sands,left,MIXED
https://www.commondreams.org/,Common Dreams,left,HIGH
http://www.copblock.org/,Cop Block,left,HIGH
http://www.cosmopolitan.com/,Cosmopolitan,left,MOSTLY FACTUAL
http://www.countercurrents.org/,CounterCurrents.org,left,HIGH
https://www.counterpunch.org,CounterPunch,left,MOSTLY FACTUAL
https://crimethinc.com/,CrimethInc,left,HIGH
https://crooked.com/,Crooked Media,left,MOSTLY FACTUAL
https://crooksandliars.com,Crooks and Liars,left,MOSTLY FACTUAL
https://www.currentaffairs.org/,Current Affairs Magazine,left,HIGH
http://www.curvemag.com,Curve Magazine,left,HIGH
https://www.thedailybeast.com/,Daily Beast,left,HIGH
http://www.dailydot.com/,Daily Dot,left,HIGH
https://www.dailykos.com/,Daily Kos,left,MIXED
http://www.dailynewsbin.com/,Daily News Bin,left,MIXED
http://www.dailyrecord.co.uk/,Daily Record (Scotland),left,MIXED
https://dailysoundandfury.com,Daily Sound and Fury,left,MIXED
http://www.dallasvoice.com/,Dallas Voice,left,HIGH
https://deadstate.org/,DeadState,left,HIGH
https://deadspin.com/,Deadspin,left,HIGH
https://deepsouthvoice.com/,Deep South Voice,left,MIXED
https://democracychronicles.org,Democracy Chronicles,left,HIGH
https://democracyguardian.com,Democracy Guardian,left,MOSTLY FACTUAL
https://www.democracynow.org/,Democracy Now,left,HIGH
https://www.democraticunderground.com/,Democratic Underground,left,MIXED
https://www.deshabhimani.com/,Deshabhimani,left,MIXED
https://www.desmogblog.com/,DeSmog,left,HIGH
https://www.metrotimes.com,Detroit Metro Times,left,HIGH
https://www.dissentmagazine.org/,Dissent Magazine,left,HIGH
http://www.drudge.com/,Drudge Retort,left,MIXED
http://earthfirstjournal.org/,Earth First Journal,left,MIXED
https://egbertowillies.com/,EgbertoWillies,left,HIGH
https://www.electoral-vote.com,Electoral-Vote.com,left,HIGH
https://electronicintifada.net/,Electronic Intifada,left,MOSTLY FACTUAL
http://elisabethparker.com/,Elisabeth Parker,left,HIGH
http://elitedaily.com/,Elite Daily,left,MIXED
https://www.esquire.com,Esquire Magazine,left,MOSTLY FACTUAL
http://everydayfeminism.com/,Everyday Feminism,left,HIGH
http://evonomics.com/,Evonomics,left,HIGH
https://extranewsfeed.com,ExtraNewsFeed,left,MOSTLY FACTUAL
http://www.feministcurrent.com,Feminist Current,left,HIGH
http://feministing.com/,Feministing,left,MIXED
https://thefifthcolumnnews.com/,The Fifth Column,left,MIXED
https://www.fifthestate.org/,Fifth Estate,left,HIGH
http://filmingcops.com/,Filming Cops,left,HIGH
https://www.finnishnews.fi/,Finnish News,left,MOSTLY FACTUAL
http://www.firstpost.com/,First Post,left,HIGH
https://www.foodandwaterwatch.org,Food and Water Watch,left,MIXED
https://www.foreignpolicyjournal.com,Foreign Policy Journal,left,MIXED
http://foreignpolicynews.org,Foreign Policy News,left,MIXED
http://freepress.org/,Free Press,left,HIGH
http://frnewsreport.com,Free Rein News,left,HIGH
https://ffrf.org/,Freedom From Religion Foundation (FFRF),left,MIXED
https://freedomnews.org.uk/,Freedom News and Journal,left,HIGH
https://www.frontpagelive.com,Front Page Live,left,MOSTLY FACTUAL
https://www.freespeech.org/,FStv (freespeech.org),left,MIXED
https://geopoliticsalert.com/,Geopolitics Alert,left,MIXED
https://gizmodo.com,Gizmodo,left,HIGH
https://globalvoices.org/,Global Voices,left,HIGH
https://www.good.is/,Good Magazine,left,HIGH
https://www.gq.com,GQ Magazine,left,HIGH
http://www.bradford-delong.com/,Grasping Reality With Both Hands: Bradford DeLong,left,HIGH
https://www.greenleft.org.au,Green Left Weekly,left,MIXED
http://www.greenvillegazette.com/,Greenville Gazette,left,LOW
https://gritpost.com,Grit Post,left,HIGH
http://guardianlv.com/,Guardian Liberty Voice,left,HIGH
https://theguardiansofdemocracy.com/,Guardians of Democracy,left,MIXED
https://www.haaretz.com/,Haaretz,left,HIGH
https://hillreporter.com,Hill Reporter,left,HIGH
https://www.huffpost.com/,Huffington Post (HuffPost),left,MOSTLY FACTUAL
https://www.hrc.org,Human Rights Campaign (HRC),left,HIGH
http://www.impeachdjtnow.com/,Impeach Trump Now,left,MIXED
https://www.marxist.com/,In Defence of Marxism,left,HIGH
https://inthesetimes.com/,In These Times,left,MOSTLY FACTUAL
http://ir.net/,Independent Reporter (Ir.net),left,MIXED
https://www.inequalitymedia.org/,Inequality Media,left,HIGH
https://www.juancole.com,Informed Comment,left,HIGH
http://www.ips-dc.org,Institute for Policy Studies,left,HIGH
http://www.internationalviewpoint.org/,International Viewpoint,left,MIXED
http://www.intrepidreport.com/,Intrepid Report,left,MIXED
https://iowastartingline.com,Iowa Starting Line,left,HIGH
https://itsgoingdown.org/,It’s Going Down,left,MIXED
https://www.jacobinmag.com/,Jacobin,left,HIGH
http://jezebel.com/,Jezebel,left,HIGH
https://latest.com,Latest.com,left,MIXED
http://www.lavendermagazine.com/,Lavender Magazine,left,HIGH
https://www.laweekly.com/,LA Weekly,left,MIXED
https://leftfootforward.org/,Left Foot Forward,left,HIGH
http://leftoverrights.com/,Left Over Rights,left,MIXED
http://www.leftsideofhistory.com/,Left Side of History,left,MIXED
http://www.leftvoice.org,Left Voice,left,HIGH
http://leftwingnation.org/,Left Wing Nation,left,HIGH
https://www.leftscoop.com/,LeftScoop,left,MIXED
https://www.lgbtqnation.com/,LGBTQ Nation,left,MOSTLY FACTUAL
http://libcom.org,Libcom.org,left,HIGH
http://liberalamerica.life,Liberal America,left,MIXED
https://www.liberalexaminer.com/,Liberal Examiner,left,MIXED
http://samuel-warde.com/,Liberals Unite (Samuel Warde),left,MIXED
https://www.liberationnews.org/,Liberation News,left,HIGH
http://littlegreenfootballs.com/,Little Green Footballs,left,HIGH
https://mashable.com,Mashable,left,MOSTLY FACTUAL
http://meanlefthook.com/,Mean Left Hook,left,MIXED
https://www.mediamatters.org,Media Matters,left,HIGH
https://www.mediaite.com/,Mediaite,left,MIXED
https://meduza.io/en,Meduza,left,HIGH
https://www.merryjane.com/,Merry Jane,left,NA
http://www.miaminewtimes.com/,Miami New Times,left,HIGH
https://www.middleeastmonitor.com/,Middle East Monitor,left,MIXED
http://modernliberals.com/,Modern Liberals,left,MIXED
http://www.molad.org/en/,Molad The Center for the Renewal of Israeli Democracy,left,HIGH
http://mondoweiss.net/,Mondoweiss,left,HIGH
http://www.moonofalabama.org/,Moon of Alabama,left,MIXED
http://www.msmagazine.com/,Ms. (Magazine),left,HIGH
https://www.msnbc.com/,MSNBC,left,MIXED
https://www.nationofchange.org/,Nation of Change,left,MOSTLY FACTUAL
https://www.nrdc.org/,Natural Resources Defense Council (NRDC),left,MOSTLY FACTUAL
https://newint.org/,New Internationalist,left,HIGH
http://newpol.org/,New Politics Magazine,left,HIGH
https://newrepublic.com/,New Republic,left,HIGH
https://www.newstatesman.com,New Statesman,left,HIGH
http://amsterdamnews.com,New York Amsterdam News,left,HIGH
http://nymag.com/,New York Magazine,left,HIGH
https://www.newyorker.com/,New Yorker,left,HIGH
http://newscorpse.com/,News Corpse,left,MIXED
http://www.newshounds.us/,NewsHounds,left,MIXED
http://www.newslogue.com/,NewsLogue,left,MIXED
https://newsone.com/,NewsOne,left,MOSTLY FACTUAL
http://www.newsweek.com/,Newsweek,left,MIXED
https://north99.org/,North99,left,MIXED
https://www.nova-magazine.net,Nova Magazine,left,MIXED
https://nowtoronto.com/,Now Magazine,left,HIGH
https://www.occupy.com,Occupy.com,left,HIGH
http://www.onegreenplanet.org,One Green Planet,left,MIXED
https://www.opednews.com/,OpEdNews (OEN),left,MIXED
https://ourvoiceny.com,Our Voice NY,left,HIGH
https://www.out.com,Out Magazine,left,HIGH
https://www.palmerreport.com,Palmer Report,left,MIXED
https://www.pastemagazine.com/,Paste Magazine,left,HIGH
https://www.peacock-panache.com/,Peacock Panache,left,MIXED
http://www.pfaw.org,People for the American Way (PFAW),left,HIGH
https://people.com,People Magazine,left,HIGH
https://photographyisnotacrime.com/,PINAC,left,HIGH
https://www.pinknews.co.uk,PinkNews,left,MOSTLY FACTUAL
http://politicaldig.com/,Political Dig,left,MIXED
https://politicaltribune.org/,Political Tribune (DC Tribune),left,MIXED
http://politicalupdater.com/,Political Updater,left,MIXED
https://www.politicususa.com,PoliticusUSA,left,MIXED
https://politizoom.com,Politizoom,left,MIXED
https://popular.info,Popular Information,left,HIGH
https://popularresistance.org/,Popular Resistance,left,MIXED
https://www.pressprogress.ca/,Press Progress,left,HIGH
http://progressivearmy.com,Progressive Army,left,HIGH
https://www.progressiveliberal.net,Progressive Liberal,left,MIXED
http://projectcensored.org/,Project Censored,left,HIGH
http://proudemocrat.com/,Proud Democrat,left,MIXED
http://putintrump.org/,PutinTrump.org,left,HIGH
https://www.queerty.com,Queerty,left,HIGH
http://rabble.ca/,Rabble.ca,left,HIGH
https://rantt.com,Rantt Media,left,HIGH
http://www.rappler.com/,Rappler,left,MIXED
http://www.rawprogressive.com/,Raw Progressive,left,MIXED
https://www.rawstory.com/,Raw Story,left,MIXED
http://readersupportednews.org,Reader Supported News (RSN),left,MIXED
http://www.readingthepictures.org,Reading the Pictures,left,HIGH
https://therealnews.com/,Real News Network,left,HIGH
http://www.redpepper.org.uk/,Red Pepper,left,HIGH
https://redstatedisaster.com,Red State Disaster,left,HIGH
https://redyouth.org/,Red Youth,left,MIXED
http://republicanssucks.org,Republicans Suck,left,MIXED
https://www.republicreport.org,Republic Report,left,HIGH
https://www.resilience.org,Resilience (Post Carbon Institute),left,MIXED
http://revcom.us/,Revcom.us,left,MIXED
http://reverbpress.news/,Reverb Press,left,HIGH
http://reverepress.com,Revere Press,left,HIGH
https://rewire.news/,Rewire.news,left,HIGH
http://www.rightwingwatch.org/,Right Wing Watch,left,MOSTLY FACTUAL
https://trofire.com/,Ring of Fire,left,MIXED
https://www.rollingstone.com/,Rolling Stone,left,HIGH
https://www.salon.com,Salon,left,HIGH
http://www.scarymommy.com/,Scary Mommy,left,HIGH
https://shadowproof.com,Shadow Proof,left,HIGH
https://shareblue.com/,Shareblue,left,MIXED
https://www.shondaland.com/,Shondaland,left,MOSTLY FACTUAL
https://slate.com,Slate,left,HIGH
https://readsludge.com/,Sludge,left,HIGH
http://www.smirkingchimp.com/,Smirking Chimp,left,HIGH
http://www.worldsocialism.org/spgb/,Socialist Standard,left,HIGH
https://socialistworker.org/,SocialistWorker.org,left,HIGH
https://www.sourcepolitics.com,Source Politics,left,MIXED
http://www.sourcewatch.org/index.php/SourceWatch,SourceWatch,left,HIGH
https://www.splcenter.org/,Southern Poverty Law Center,left,HIGH
https://splinternews.com,Splinter,left,MIXED
https://www.stpete4peace.org/,St. Pete for Peace,left,HIGH
http://www.syriana-analysis.com,Syriana Analysis,left,MIXED
http://www.takepart.com/,TakePart,left,HIGH
https://talkingpointsmemo.com,Talking Points Memo,left,MOSTLY FACTUAL
https://www.teenvogue.com,Teen Vogue,left,MOSTLY FACTUAL
http://www.telesurtv.net/english/,TeleSUR,left,MIXED
https://www.advocate.com,The Advocate,left,HIGH
https://americanindependent.com/,The American Independent Institute,left,MOSTLY FACTUAL
https://prospect.org,The American Prospect,left,HIGH
https://www.austinchronicle.com,The Austin Chronicle,left,HIGH
http://theblueroute.org/,The Blue Route,left,MOSTLY FACTUAL
http://www.theburningspear.com/,The Burning Spear,left,HIGH
https://www.thecanary.co/,The Canary (UK),left,HIGH
https://www.climaterealityproject.org/,The Climate Reality Project,left,HIGH
http://www.daily49er.com/,Daily 49er,left,HIGH
https://thedailybanter.com/,The Daily Banter,left,MIXED
http://the-daily.buzz/,The Daily Buzz,left,HIGH
https://www.thedailyvox.co.za/,The Daily Vox,left,HIGH
http://www.democratichub.com/,The Democratic Hub,left,MIXED
https://www.thedodo.com,The Dodo,left,MIXED
https://dworkinreport.com,The Dworkin Report,left,MIXED
https://theestablishment.co,The Establishment,left,HIGH
https://thefloridasqueeze.com/,The Florida Squeeze,left,MIXED
http://www.thefrisky.com/,The Frisky,left,HIGH
https://ghionjournal.com,The Ghion Journal,left,MOSTLY FACTUAL
https://www.theimproper.com,TheImproper Magazine,left,HIGH
https://indypendent.org,The Indypendent,left,HIGH
https://mavenroundtable.io/theintellectualist/,The Intellectualist,left,MIXED
https://www.thelily.com/,The Lily,left,HIGH
https://www.thelondoneconomic.com,The London Economic,left,MOSTLY FACTUAL
https://www.themarysue.com,The Mary Sue,left,MIXED
http://www.themilitant.com/,The Militant,left,HIGH
https://morningstaronline.co.uk/,The Morning Star,left,MOSTLY FACTUAL
https://www.thenation.com/,The Nation,left,HIGH
